,hostel.0me,City,price,Distance,Rating,Purchased,lat,lon
315,The Prime Pod Kyoto,Kyoto,2500,15,4.6,0,35.0090836,135.7702541
316,Toco Tokyo Heritage Hostel,Tokyo,3000,9.1,9.2,1,35.7220369,139.7839281
317,Tokyo Central Youth Hostel,Tokyo,1003200,4.8,4.2,0,35.700821,139.743522
318,Tokyo Hostel ENISHI,Tokyo,3300,4.7,8.6,1,35.6482038,139.6794363
319,Tokyo Hostel Fuji,Tokyo,2000,1.6,6.5,0,35.692835,139.674336
320,Tokyo House Inn,Tokyo,3800,1.5,6.8,1,35.6990062,139.7038187
321,Tokyo Hutte,Tokyo,3000,11.3,6.2,0,35.7088828,139.8150041
322,Tokyo Sumidagawa Youth Hostel,Tokyo,2500,8.9,7.7,0,35.6991309,139.7892234
323,TOKYO-W-INN Asakusa,Tokyo,2500,9.3,7.1,0,35.7083161,139.7923088
324,Tomato Kyoto Station,Kyoto,1500,3.1,8.3,1,34.986881,135.751832
325,To0gi Hostel × Cafe,Fukuoka-City,2500,2,8.9,1,33.604248,130.41452
326,Train Hostel HOKUTOSEI,Tokyo,2100,8.3,6.2,0,35.694048,139.7828434
327,Turn Table Hostel,Tokyo,5400,3.8,9.6,1,35.6553861,139.6929157
328,Umbrella House Osaka,Osaka,2300,8.5,6.8,1,34.639764,135.546582
329,Uno Ueno,Tokyo,1500,8.2,8,1,35.7087463,139.7791708
330,Unplan Kagurazaka,Tokyo,3200,4,8,0,35.7050654,139.7313228
331,Very Hostel 0mba,Osaka,2500,4.9,3.2,0,34.6636522,135.4888061
332,WeBase HAKATA,Fukuoka-City,3000,0.9,2.5,0,33.595674,130.408271
333,WIRED HOTEL Asakusa,Tokyo,5200,9.7,3.5,0,35.7158533,139.793905
334,Wise Owl Hostels Shibuya,Tokyo,2500,4,9.1,1,35.6537001,139.6897743
335,Wise Owl Hostels Tokyo,Tokyo,2000,7.9,9.1,1,35.6747807,139.7772748
336,With B,Tokyo,4000,8.6,9.1,1,0,0
337,YADOKARI 0mba Hostel,Osaka,2500,4.7,2.4,0,0,0
338,YADOYA Guesthouse Green,Tokyo,2300,2.6,8.2,1,35.7029083,139.6681253
339,YADOYA Guesthouse Orange,Tokyo,2000,12.5,3.2,0,35.7065126,139.6676947
340,YAWP! backpackers,Tokyo,2500,17.5,9.3,1,35.7528846,139.8691966
341,You En Me House,Kyoto,2800,2.4,7.2,0,34.997376,135.749063
342,Zabutton Hostel,Tokyo,2900,5.9,8.6,1,35.65547,139.742116
